sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
145;DHT22;3528;-0.286;36.067;2021-11-13T05:07:50.581127+00:00;humidity;85
145;DHT22;3528;-0.286;36.067;2021-11-13T05:07:50.581127+00:00;temperature;17
145;DHT22;3528;-0.286;36.067;2021-11-13T05:10:29.973896+00:00;humidity;84
145;DHT22;3528;-0.286;36.067;2021-11-13T05:10:29.973896+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2021-11-13T05:10:29.977011+00:00;P2;17
144;SDS011;3528;-0.286;36.067;2021-11-13T05:10:29.977011+00:00;P1;34
144;SDS011;3528;-0.286;36.067;2021-11-13T05:13:10.139211+00:00;P2;17
144;SDS011;3528;-0.286;36.067;2021-11-13T05:13:10.139211+00:00;P1;30
145;DHT22;3528;-0.286;36.067;2021-11-13T05:13:10.154361+00:00;humidity;83
145;DHT22;3528;-0.286;36.067;2021-11-13T05:13:10.154361+00:00;temperature;17
145;DHT22;3528;-0.286;36.067;2021-11-13T05:15:50.539770+00:00;humidity;83
145;DHT22;3528;-0.286;36.067;2021-11-13T05:15:50.539770+00:00;temperature;17
144;SDS011;3528;-0.286;36.067;2021-11-13T05:15:50.543830+00:00;P2;20
144;SDS011;3528;-0.286;36.067;2021-11-13T05:15:50.543830+00:00;P1;22
145;DHT22;3528;-0.286;36.067;2021-11-13T05:18:30.901053+00:00;humidity;82
145;DHT22;3528;-0.286;36.067;2021-11-13T05:18:30.901053+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2021-11-13T05:18:31.817091+00:00;P2;21
144;SDS011;3528;-0.286;36.067;2021-11-13T05:18:31.817091+00:00;P1;28
144;SDS011;3528;-0.286;36.067;2021-11-13T05:21:10.636737+00:00;P2;12
144;SDS011;3528;-0.286;36.067;2021-11-13T05:21:10.636737+00:00;P1;27
145;DHT22;3528;-0.286;36.067;2021-11-13T05:21:10.638725+00:00;humidity;82
145;DHT22;3528;-0.286;36.067;2021-11-13T05:21:10.638725+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2021-11-13T05:23:50.881424+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2021-11-13T05:23:50.881424+00:00;P1;40
145;DHT22;3528;-0.286;36.067;2021-11-13T05:23:50.884373+00:00;humidity;81
145;DHT22;3528;-0.286;36.067;2021-11-13T05:23:50.884373+00:00;temperature;18
145;DHT22;3528;-0.286;36.067;2021-11-13T05:26:31.221088+00:00;humidity;80
145;DHT22;3528;-0.286;36.067;2021-11-13T05:26:31.221088+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2021-11-13T05:26:31.225071+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2021-11-13T05:26:31.225071+00:00;P1;35
145;DHT22;3528;-0.286;36.067;2021-11-13T05:29:11.029112+00:00;humidity;80
145;DHT22;3528;-0.286;36.067;2021-11-13T05:29:11.029112+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2021-11-13T05:29:11.161081+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2021-11-13T05:29:11.161081+00:00;P1;36
145;DHT22;3528;-0.286;36.067;2021-11-13T05:31:51.268596+00:00;humidity;79
145;DHT22;3528;-0.286;36.067;2021-11-13T05:31:51.268596+00:00;temperature;18
144;SDS011;3528;-0.286;36.067;2021-11-13T05:31:51.272009+00:00;P2;12
144;SDS011;3528;-0.286;36.067;2021-11-13T05:31:51.272009+00:00;P1;37
144;SDS011;3528;-0.286;36.067;2021-11-13T05:34:31.562108+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2021-11-13T05:34:31.562108+00:00;P1;31
145;DHT22;3528;-0.286;36.067;2021-11-13T05:34:31.565123+00:00;humidity;79
145;DHT22;3528;-0.286;36.067;2021-11-13T05:34:31.565123+00:00;temperature;18
145;DHT22;3528;-0.286;36.067;2021-11-13T05:37:11.969799+00:00;humidity;78
145;DHT22;3528;-0.286;36.067;2021-11-13T05:37:11.969799+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2021-11-13T05:37:11.969939+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2021-11-13T05:37:11.969939+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2021-11-13T05:39:51.637063+00:00;humidity;78
145;DHT22;3528;-0.286;36.067;2021-11-13T05:39:51.637063+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2021-11-13T05:39:51.793164+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2021-11-13T05:39:51.793164+00:00;P1;11
144;SDS011;3528;-0.286;36.067;2021-11-13T05:42:31.905030+00:00;P2;7
144;SDS011;3528;-0.286;36.067;2021-11-13T05:42:31.905030+00:00;P1;20
145;DHT22;3528;-0.286;36.067;2021-11-13T05:42:31.909026+00:00;humidity;76
145;DHT22;3528;-0.286;36.067;2021-11-13T05:42:31.909026+00:00;temperature;19
145;DHT22;3528;-0.286;36.067;2021-11-13T05:45:12.285054+00:00;humidity;76
145;DHT22;3528;-0.286;36.067;2021-11-13T05:45:12.285054+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2021-11-13T05:45:12.337002+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2021-11-13T05:45:12.337002+00:00;P1;19
144;SDS011;3528;-0.286;36.067;2021-11-13T05:47:52.085032+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2021-11-13T05:47:52.085032+00:00;P1;39
145;DHT22;3528;-0.286;36.067;2021-11-13T05:47:52.205012+00:00;humidity;74
145;DHT22;3528;-0.286;36.067;2021-11-13T05:47:52.205012+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2021-11-13T05:50:32.267215+00:00;P2;12
144;SDS011;3528;-0.286;36.067;2021-11-13T05:50:32.267215+00:00;P1;14
145;DHT22;3528;-0.286;36.067;2021-11-13T05:50:32.267969+00:00;humidity;77
145;DHT22;3528;-0.286;36.067;2021-11-13T05:50:32.267969+00:00;temperature;19
145;DHT22;3528;-0.286;36.067;2021-11-13T05:53:12.617433+00:00;humidity;75
145;DHT22;3528;-0.286;36.067;2021-11-13T05:53:12.617433+00:00;temperature;19
144;SDS011;3528;-0.286;36.067;2021-11-13T05:53:12.620760+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2021-11-13T05:53:12.620760+00:00;P1;22
145;DHT22;3528;-0.286;36.067;2021-11-13T05:55:53.065110+00:00;humidity;74
145;DHT22;3528;-0.286;36.067;2021-11-13T05:55:53.065110+00:00;temperature;20
144;SDS011;3528;-0.286;36.067;2021-11-13T05:55:53.066037+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2021-11-13T05:55:53.066037+00:00;P1;34
144;SDS011;3528;-0.286;36.067;2021-11-13T05:58:32.783738+00:00;P2;9
